,,,,,,,,,,,,,,,,발송율,열람,클릭,회신,미팅 성사,계약 성사,,,,
[아웃바운드] INTERCHARM 세일즈,,,,,,,,,,,,,계약성사 :,0,,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
최종 확인 ,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
브랜드 에셋,,,,,,,,,,,,,SNS,,,영업 영역,,,,,,,,,
#,구분,브랜드명,연락처,홈페이지,업체명,신뢰도,메일유형,발송적합도,발송단계,훅,메일주의,비고,인스타,감도,마케팅 경험,발송,열람,클릭,회신,미팅,발송일자,회신일자,2차 메일,출처,성사여부
1,스킨케어,TREEANNSEA 트리앤씨,global@treeannsea.co.kr,http://www.treeannsea.us,,high,,,,,,[인터참 홀134·부스134·TTier A·☎070-4138-3777],@treeannsea_official,,,,,,,,,,,인터참,
2,스킨케어,(주)더제이알,thejrinc17@gmail.com,https://www.polocosmetic.com,,high,,,,,,[인터참 홀A·부스A-A04·TTier A·☎7076262201],@beverlyhillspoloclub_kr,,,,,,,,,,,인터참,
3,헤어,(주)본플렉스,ellaplex@ellaplex.com,https://www.wechat.com/bonplex01,,high,,,,,,[인터참 홀A·부스A-A08·TTier A·☎#ERROR!],@bonplex_official,,,,,,,,,,,인터참,
4,스킨케어,㈜프롬비건,cdysr@fromvegan.co.kr,https://www.chorokchorong.com,,high,,,,,,[인터참 홀A·부스A-A15·TTier A·☎1077542537],@chorokchorong.official,,,,,,,,,,,인터참,
5,스킨케어,벨플라워,bellflower.cs@gmail.com,https://bellflowercos.com/,,high,,,,,,[인터참 홀A·부스A-A20·TTier A·☎031-901-0144],@bellflower_kor,,,,,,,,,,,인터참,
6,스킨케어,주식회사 보타닉센스,info@botanicsens.com,https://www.botanicsens.com/,,high,,,,,,[인터참 홀A·부스A-A21·TTier A·☎1666-6536],@botanicsens,,,,,,,,,,,인터참,
7,더마,누셀리크,soisintl.biz@gmail.com,https://nuselique.co.kr/,,high,,,,,,[인터참 홀A·부스A-B03·TTier A·☎1035848277],@nuselique_official,,,,,,,,,,,인터참,
8,더마,CLAIRLISSE,,,,medium,,,,,,메일 확인필요(uncertain): 다수 검색 시도에도 'CLAIRLISSE'라는 브랜드를 공식 웹사이트·전 [인터참 홀A·부스A-B07·TTier A],,,,,,,,,,,,인터참,
